md5,path,og_filename,og_uri,sample_id,read_type,replicate,file_name,gcp_uri,sample_name
8ffd378b10fdaa7ff8ac41060234f6b0,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-099_D1_S11_R1_001.fastq.gz,V11D06-099_D1_S11_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-099_D1_S11_R1_001.fastq.gz,V11D06-099_D1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-099_D1_S11_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-099_D1_S11_R1_001.fastq.gz,V11D06-099_D1_Rep2
120e0c1902024a3de4846eaf142339a4,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-099_D1_S11_R2_001.fastq.gz,V11D06-099_D1_S11_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-099_D1_S11_R2_001.fastq.gz,V11D06-099_D1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-099_D1_S11_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-099_D1_S11_R2_001.fastq.gz,V11D06-099_D1_Rep2
272bf64fe06d98c253dd35e71dea9b86,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_A1_S12_R1_001.fastq.gz,V11D06-100_A1_S12_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_A1_S12_R1_001.fastq.gz,V11D06-100_A1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-100_A1_S12_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_A1_S12_R1_001.fastq.gz,V11D06-100_A1_Rep2
31ffaf3444c486514c646191397b16a0,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_A1_S12_R2_001.fastq.gz,V11D06-100_A1_S12_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_A1_S12_R2_001.fastq.gz,V11D06-100_A1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-100_A1_S12_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_A1_S12_R2_001.fastq.gz,V11D06-100_A1_Rep2
7aad1b6a8a278330817dea3c3ab74562,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_B1_S13_R1_001.fastq.gz,V11D06-100_B1_S13_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_B1_S13_R1_001.fastq.gz,V11D06-100_B1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-100_B1_S13_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_B1_S13_R1_001.fastq.gz,V11D06-100_B1_Rep2
909f66eb251923883f907e65bf577c3e,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_B1_S13_R2_001.fastq.gz,V11D06-100_B1_S13_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_B1_S13_R2_001.fastq.gz,V11D06-100_B1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-100_B1_S13_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_B1_S13_R2_001.fastq.gz,V11D06-100_B1_Rep2
2cde1fff2e7fc062ee9dfa24074c27f1,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_C1_S14_R1_001.fastq.gz,V11D06-100_C1_S14_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_C1_S14_R1_001.fastq.gz,V11D06-100_C1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-100_C1_S14_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_C1_S14_R1_001.fastq.gz,V11D06-100_C1_Rep2
8bbfaa917899ca6928c9665b5a6f4f9c,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_C1_S14_R2_001.fastq.gz,V11D06-100_C1_S14_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_C1_S14_R2_001.fastq.gz,V11D06-100_C1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-100_C1_S14_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_C1_S14_R2_001.fastq.gz,V11D06-100_C1_Rep2
3dd42aafad9a958dc22ecabc2e1ae4b2,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_D1_S15_R1_001.fastq.gz,V11D06-100_D1_S15_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_D1_S15_R1_001.fastq.gz,V11D06-100_D1,R1,Rep2,6OHDA_ST.20220719.run2.V11D06-100_D1_S15_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_D1_S15_R1_001.fastq.gz,V11D06-100_D1_Rep2
866253812cf2708863615b24df4f571c,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_D1_S15_R2_001.fastq.gz,V11D06-100_D1_S15_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_D1_S15_R2_001.fastq.gz,V11D06-100_D1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-100_D1_S15_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_D1_S15_R2_001.fastq.gz,V11D06-100_D1_Rep2
